DATE,CHANGED,NOT_CHANGED_1,NOT_CHANGED_2,NOT_CHANGED_3
2019-04-16,83836.5,85642.5,86137.5,81241.5
2019-04-17,83887.5,86326.5,85036.5,80877
2019-04-18,82662,87456,84409.5,80910
2019-04-19,83271,89551.5,87568.5,82150.5
2019-04-20,84210,90256.5,86602.5,83083.5
2019-04-21,79039.5,86418,82476,78921
2019-04-22,83040,89076,85146,82989
2019-04-23,84906,90870,86901,83745
2019-04-24,85089,86722.5,85267.5,82348.5
2019-04-25,82953,87619.5,83488.5,80907
2019-04-26,80076,85671,81501,78462
2019-04-27,80088,85320,80931,79519.5
2019-04-28,83431.5,88345.5,84702,81304.5
2019-04-29,85744.5,86787,87007.5,82500
2019-04-30,84747,85066.5,85149,81642
2019-05-01,82051.5,85293,85062,80187
2019-05-02,83794.5,86668.5,84967.5,79845
2019-05-03,80802,85710,81979.5,78684
2019-05-04,78313.5,83244,80875.5,78499.5
2019-05-05,78931.5,84523.5,80277,78462
2019-05-06,80523,87694.5,82500,80268
2019-05-07,114019.5,102448.5,121420.5,114240
2019-05-08,120520.5,107023.5,122865,115831.5
2019-05-09,87372,88839,86068.5,82033.5
2019-05-10,90376.5,87847.5,96744,92529
2019-05-11,85422,86869.5,84742.5,83779.5
2019-05-12,78696,83637,80853,79390.5
2019-05-13,80496,84703.5,83292,82272
2019-05-14,82659,85020,83163,82983
2019-05-15,81018,82870.5,81750,82171.5
2019-05-16,79528.5,83644.5,82396.5,82411.5
2019-05-17,79146,82326,82164,79459.5
2019-05-18,79645.5,82638,82150.5,79828.5
2019-05-19,84414,88573.5,86011.5,82750.5
2019-05-20,82899,89371.5,86311.5,84153
2019-05-21,82974,84795,86337,85107
2019-05-22,78043.5,79705.5,83578.5,79143
2019-05-23,75567,76149,79428,78142.5
2019-05-24,73971,77277,78478.5,75268.5
2019-05-25,70807.5,74059.5,73674,72775.5
2019-05-26,68449.5,75600,72816,69562.5
2019-05-27,75682.5,80227.5,77728.5,77661
2019-05-28,74301,79639.5,77962.5,77854.5
2019-05-29,75523.5,78537,79843.5,78288
2019-05-30,74298,77182.5,76795.5,76453.5
2019-05-31,69274.5,72475.5,72121.5,70200
2019-06-01,68787,74340,72805.5,69526.5
2019-06-02,71407.5,77667,75006,71412
2019-06-03,74041.5,79485,77041.5,73351.5
2019-06-04,74829,79294.5,76557,75373.5
2019-06-05,73030.5,76639.5,77014.5,74985
2019-06-06,71533.5,76116,75408,74311.5
2019-06-07,70441.5,74577,73089,71988
2019-06-08,71476.5,77071.5,75435,72768
2019-06-09,72342,78253.5,74493,71745
2019-06-10,75549,81898.5,78918,77343
2019-06-11,73360.5,78333,76722,74418
2019-06-12,75052.5,79086,78048,75807
2019-06-13,74577,77136,76663.5,74341.5
2019-06-14,70398,75723,73162.5,70561.5
2019-06-15,71511,78015,75091.5,72811.5
2019-06-16,72981,80059.5,75930,73260
2019-06-17,75700.5,80071.5,78834,76275
2019-06-18,76126.5,81747,79234.5,77827.5
2019-06-19,75819,79822.5,77856,76245
2019-06-20,74436,78069,76314,75525
2019-06-21,72717,74418,75436.5,73684.5
2019-06-22,72309,76647,75193.5,74148
2019-06-23,74296.5,76903.5,75774,75559.5
2019-06-24,76222.5,78928.5,79677,77593.5
2019-06-25,77190,80506.5,77746.5,78598.5
2019-06-26,74283,76129.5,74694,76170
2019-06-27,74715,78864,76060.5,75702
2019-06-28,72889.5,76474.5,74448,73899
2019-06-29,73645.5,78024,75457.5,74944.5
2019-06-30,74923.5,79464,76024.5,76746
2019-07-01,75862.5,78504,76608,76771.5
2019-07-02,76506,77835,76671,76267.5
2019-07-03,75157.5,76818,75820.5,75765
2019-07-04,70852.5,74109,71260.5,70942.5
2019-07-05,68314.5,72430.5,70762.5,68914.5
2019-07-06,74968.5,78663,76440,76345.5
2019-07-07,74503.5,77574,75442.5,75067.5
2019-07-08,77452.5,81088.5,78934.5,80007
2019-07-09,77817,81534,79449,81091.5
2019-07-10,77274,81549,79366.5,79345.5
2019-07-11,77259,80713.5,78501,77644.5
2019-07-12,76804.5,80631,78795,76782
2019-07-13,76639.5,79656,78729,76777.5
2019-07-14,77949,80001,77461.5,76137
2019-07-15,76608,77917.5,76702.5,78174
2019-07-16,76554,79224,77437.5,78528
2019-07-17,74914.5,78832.5,76596,76498.5
2019-07-18,76384.5,80602.5,79272,78270
2019-07-19,77904,84619.5,80229,79615.5
2019-07-20,79125,85050,81780,80104.5
2019-07-21,78469.5,85371,80848.5,79836
2019-07-22,80817,83827.5,84658.5,82258.5
2019-07-23,81544.5,84777,86796,83638.5
2019-07-24,77050.5,79228.5,80088,79930.5
2019-07-25,77593.5,78652.5,80061,81315
2019-07-26,77590.5,77715,80113.5,80227.5
2019-07-27,77482.5,77965.5,79423.5,77418
2019-07-28,79911,81244.5,81961.5,82143
2019-07-29,82662,84888,86212.5,85449
2019-07-30,84900,85710,89061,85162.5
2019-07-31,79314,80242.5,83842.5,79912.5
2019-08-01,75514.5,76407,78832.5,78643.5
