"Date" "VolksWagen" "BMW" "Allianz"
"2011-01-02" 99.142822 45.039032 60.006882
"2011-01-09" 100.908623 44.75806 63.032661
"2011-01-16" 96.084999 42.297653 64.578583
"2011-01-23" 96.558739 43.360786 66.296272
"2011-01-30" 94.965218 43.170944 69.962891
"2011-02-06" 99.831917 47.947468 70.359276
"2011-02-13" 97.678513 45.988258 71.383286
"2011-02-20" 94.103867 44.575809 67.716675
"2011-02-27" 91.433624 43.877167 69.137062
"2011-03-06" 91.089073 42.753281 65.946129
"2011-03-13" 87.77285 41.9939 62.041691
"2011-03-20" 90.701469 43.634163 65.252441
"2011-03-27" 93.242485 46.489449 66.527496
"2011-04-03" 91.692032 44.454304 68.476425
"2011-04-10" 90.012383 44.135361 68.245209
"2011-04-17" 95.395897 46.322388 67.518471
"2011-04-24" 103.708038 48.349937 70.227142
"2011-05-01" 103.105087 47.704464 67.287254
"2011-05-08" 103.164993 46.975456 67.789459
"2011-05-15" 99.919174 47.279564 66.367401
"2011-05-22" 100.708694 47.062473 65.891068
"2011-05-29" 101.673668 46.744591 64.192894
"2011-06-05" 103.472038 48.334011 63.695862
"2011-06-12" 104.261574 49.760624 64.676117
"2011-06-19" 107.858315 52.04784 63.419735
"2011-06-26" 112.156845 52.544052 67.257912
"2011-07-03" 116.89402 53.117794 65.911789
"2011-07-10" 120.13987 56.343163 61.707737
"2011-07-17" 119.350334 55.498055 64.393089
"2011-07-24" 112.025261 54.133469 62.860573
"2011-07-31" 95.13813 46.891903 54.604343
"2011-08-07" 97.550583 46.008026 52.816418
"2011-08-14" 84.225113 40.549709 47.494049
"2011-08-21" 87.462158 41.906536 45.6647
"2011-08-28" 89.830742 42.038342 46.941788
"2011-09-04" 84.014549 40.076759 42.413284
"2011-09-11" 91.497543 44.333313 46.182434
"2011-09-18" 81.558258 40.456665 40.74271
"2011-09-25" 81.751266 38.739319 48.916103
"2011-10-02" 83.163628 39.456497 52.71286
"2011-10-09" 89.962341 43.759571 53.844982
"2011-10-16" 90.137794 44.341064 54.231571
